Timestamp	Text	Link
0:06	[Music].	https://youtu.be/wf4G-NcyCe4?t=6
0:20	[Music].	https://youtu.be/wf4G-NcyCe4?t=20
0:46	Heat Heat [Music].	https://youtu.be/wf4G-NcyCe4?t=46
1:03	[Music].	https://youtu.be/wf4G-NcyCe4?t=63
1:38	[Music].	https://youtu.be/wf4G-NcyCe4?t=98
1:44	[Music].	https://youtu.be/wf4G-NcyCe4?t=104
2:20	[Music].	https://youtu.be/wf4G-NcyCe4?t=140
2:41	[Music].	https://youtu.be/wf4G-NcyCe4?t=161
2:53	[Music].	https://youtu.be/wf4G-NcyCe4?t=173
3:10	[Music].	https://youtu.be/wf4G-NcyCe4?t=190
3:18	[Music].	https://youtu.be/wf4G-NcyCe4?t=198
3:32	[Music].	https://youtu.be/wf4G-NcyCe4?t=212
4:01	[Music].	https://youtu.be/wf4G-NcyCe4?t=241
4:15	[Music].	https://youtu.be/wf4G-NcyCe4?t=255
4:25	[Music].	https://youtu.be/wf4G-NcyCe4?t=265
4:33	[Music].	https://youtu.be/wf4G-NcyCe4?t=273
5:10	[Music].	https://youtu.be/wf4G-NcyCe4?t=310
5:30	Hello and welcome to this our 208th live dream The hysterical context.	https://youtu.be/wf4G-NcyCe4?t=330
5:39	Error Of course this is a play on our Monday video which is the historical.	https://youtu.be/wf4G-NcyCe4?t=339
5:45	Context error Okay not to be confused Historical not to be confused with.	https://youtu.be/wf4G-NcyCe4?t=345
5:50	Hysterical On the live streams we do hysterical errors On the on the.	https://youtu.be/wf4G-NcyCe4?t=350
5:56	Teaching videos we talk about historical context errors Okay just want to make.	https://youtu.be/wf4G-NcyCe4?t=356
6:03	That clear Okay this is of course our Friday night live stream where we come.	https://youtu.be/wf4G-NcyCe4?t=363
6:08	To you and answer your questions on ancient Egypt in the Bible Thank you very much for joining us tonight And uh.	https://youtu.be/wf4G-NcyCe4?t=368
6:15	Just a little bit of housekeeping Uh first of all we want to remind you.	https://youtu.be/wf4G-NcyCe4?t=375
6:20	That this coming Wednesday we're doing a special live stream at 8:00 p.m Pacific.	https://youtu.be/wf4G-NcyCe4?t=380
6:26	Where we talk about the novel I'll just throw it up here Reloquy of the Dead.	https://youtu.be/wf4G-NcyCe4?t=386
6:33	And in this live stream what we're going to do is we are going to answer all your questions regarding the novel Did you.	https://youtu.be/wf4G-NcyCe4?t=393
6:40	Read it and found something interesting did you want to know about the background of a particular person or.	https://youtu.be/wf4G-NcyCe4?t=400
6:48	Event this is your opportunity to come on the live stream and ask So that's.	https://youtu.be/wf4G-NcyCe4?t=408
6:55	This Wednesday again at 8:00 PM And we're just going to be talking in this live stream We're just going to be.	https://youtu.be/wf4G-NcyCe4?t=415
7:01	Talking about the novel No ancient neareastern stuff unless it relates to the novel Okay.	https://youtu.be/wf4G-NcyCe4?t=421
7:09	So we hope you'll see you there And again this is again just to talk about.	https://youtu.be/wf4G-NcyCe4?t=429
7:16	The novel All right Uh we're happy also to announce that the novel is actually.	https://youtu.be/wf4G-NcyCe4?t=436
7:21	Doing very well It's received very very high praise so far and we are grateful.	https://youtu.be/wf4G-NcyCe4?t=441
7:27	For that And if any of you guys have read it please leave a review because reviews really matter Okay let's talk.	https://youtu.be/wf4G-NcyCe4?t=447
7:34	About the rules of the channel Then start getting into your questions Uh the rules are the same as always Super chats.	https://youtu.be/wf4G-NcyCe4?t=454
7:41	Have priority Same across all YouTube channels Doesn't guarantee your question gets answered but it does guarantee that.	https://youtu.be/wf4G-NcyCe4?t=461
7:48	It gets seen Okay If you want to ask a non-sup chat question you have to put.	https://youtu.be/wf4G-NcyCe4?t=468
7:54	A Q and a colon in front of it So we see it No Q no colon Might as well not exist.	https://youtu.be/wf4G-NcyCe4?t=474
8:00	As far as we can tell Okay Uh only post your non-s super chats once Question.	https://youtu.be/wf4G-NcyCe4?t=480
8:06	Spamming is not allowed and will be disqualified Also if it's a something to.	https://youtu.be/wf4G-NcyCe4?t=486
8:12	Do with the Bible please give us a little bit of context Give us the what book it's from the chapter and the verse.	https://youtu.be/wf4G-NcyCe4?t=492
8:19	That way we don't have to go hunting for it or guess Also we do allow.	https://youtu.be/wf4G-NcyCe4?t=499
8:26	Uh sponsorship of non-s super chat questions and if you sponsor a question.	https://youtu.be/wf4G-NcyCe4?t=506
8:32	Please put a copy of the question in your super chat so we again we don't.	https://youtu.be/wf4G-NcyCe4?t=512
8:38	Have to hunt for it makes things just a lot easier for us And then finally one.	https://youtu.be/wf4G-NcyCe4?t=518
8:43	Question per chat Uh no question stacking because there's just no way we can reasonably answer that So again.	https://youtu.be/wf4G-NcyCe4?t=523
8:51	Restrict your question to one question per chat Okay with that said let's get.	https://youtu.be/wf4G-NcyCe4?t=531
8:57	Into the questions Okay our first question of the.	https://youtu.be/wf4G-NcyCe4?t=537
9:03	"Night is going to be coming from Joseph aptly named and he asks ""Did."	https://youtu.be/wf4G-NcyCe4?t=543
9:12	"Egyptians actually think the brain was useless?"" The answer to that is a surprisingly no They didn't think it was."	https://youtu.be/wf4G-NcyCe4?t=552
